amount,hour,tx_1h,is_international,is_night,Class
46.93,10,1,0,0,0
301.01,16,2,0,0,0
131.67,4,2,0,1,0
91.29,6,2,0,0,0
16.96,18,1,0,0,0
16.96,23,2,0,1,0
5.98,14,3,1,0,0
201.12,2,1,0,1,0
91.91,14,2,0,0,0
123.13,4,4,0,1,0
2.08,22,2,0,0,0
350.36,11,1,0,0,0
178.64,19,0,0,0,0
23.87,4,2,0,1,0
20.07,2,2,0,1,0
20.26,8,2,0,0,0
36.28,8,2,0,0,0
74.39,6,0,0,0,0
56.55,1,2,0,1,0
34.42,22,1,0,0,0
94.64,22,0,0,0,0
15.02,20,2,0,0,0
34.55,15,4,0,0,0
45.63,8,4,0,0,0
60.89,12,1,0,0,0
153.79,18,0,0,0,0
22.27,19,1,0,0,0
72.2,16,2,0,0,0
89.75,5,4,1,1,0
4.76,3,1,0,1,0
93.53,0,2,0,1,0
18.7,17,4,0,0,0
6.73,18,6,0,0,0
297.37,8,0,0,0,0
337.06,12,2,0,0,0
165.23,7,0,0,0,0
36.33,22,1,0,0,0
10.28,12,3,0,0,0
115.28,14,0,1,0,0
58.01,10,3,0,0,0
13.02,11,4,0,0,0
68.35,13,2,0,0,0
3.5,3,3,0,1,0
240.04,0,3,0,1,0
29.95,23,1,1,1,0
108.63,3,3,0,1,0
37.35,18,3,0,0,0
73.41,8,1,1,0,0
79.12,9,2,1,0,0
20.44,3,3,0,1,0
349.28,19,1,0,0,0
149.22,8,1,0,0,0
280.51,12,2,1,0,1
225.22,11,5,0,0,0
91.11,10,2,0,0,0
254.94,11,2,0,0,0
9.27,17,2,0,0,0
21.81,11,0,0,0,0
4.63,15,4,0,0,0
39.35,4,4,0,1,0
49.21,19,2,0,0,0
31.66,11,3,0,0,0
176.46,20,6,0,0,0
44.12,10,2,0,0,0
32.98,8,1,0,0,0
78.24,17,2,0,0,0
15.19,2,0,0,1,0
162.05,19,1,0,0,0
7.75,16,1,0,0,0
433.41,13,5,0,0,0
147.95,0,1,0,1,0
22.15,16,0,0,0,0
0.55,7,2,0,0,0
168.99,4,3,0,1,0
122.71,4,2,0,1,0
130.57,8,4,1,0,0
147.52,2,0,0,1,0
7.69,18,4,0,0,0
44.39,22,0,0,0,0
12.32,8,0,0,0,0
198.85,21,0,0,0,0
97.63,17,1,0,0,0
40.18,15,2,0,0,0
6.57,0,1,0,1,0
37.25,1,2,0,1,0
39.33,13,4,0,0,0
130.79,13,2,0,0,0
101.49,0,5,0,1,1
218.23,15,1,0,0,0
63.91,14,2,0,0,0
12.74,14,0,0,0,0
124.91,11,1,0,0,0
143.04,15,0,1,0,0
82.39,13,1,1,0,0
147.39,23,0,0,1,0
68.08,14,3,0,0,0
73.97,22,2,0,0,0
55.78,14,0,0,0,0
2.57,18,0,1,0,0
11.42,7,4,0,0,0
3.19,1,2,0,1,0
101.17,1,4,0,1,0
37.74,9,1,0,0,0
71.04,2,3,0,1,0
238.13,22,0,1,0,0
28.67,16,2,0,0,0
52.83,7,3,0,0,0
140.87,22,0,0,0,0
25.98,3,3,0,1,0
8.01,13,0,0,0,0
34.21,20,3,0,0,0
17.58,9,4,0,0,0
265.5,0,0,0,1,0
165.09,3,0,0,1,0
100.35,0,3,0,1,0
205.15,16,3,0,0,0
162.8,16,1,0,0,0
20.65,6,3,0,0,0
223.08,22,3,0,0,0
77.51,19,2,0,0,0
164.73,14,2,0,0,0
226.42,12,1,1,0,0
38.27,1,2,0,1,0
11.66,18,3,0,0,0
25.87,23,1,0,1,0
55.71,12,2,0,0,0
170.38,23,4,0,1,0
197.13,10,0,0,0,0
0.7,21,4,0,0,0
71.49,14,1,0,0,0
54.03,9,1,0,0,0
25.12,8,1,0,0,0
12.77,8,1,1,0,0
41.19,19,1,0,0,0
286.31,0,2,0,1,1
39.04,16,2,0,0,0
73.15,11,1,0,0,0
121.41,9,4,0,0,0
45.2,4,1,0,1,0
356.78,17,2,0,0,0
328.2,14,1,1,0,1
29.01,5,0,0,1,0
68.77,6,0,0,0,0
35.79,16,1,0,0,0
33.52,5,3,0,1,0
3.76,7,3,1,0,0
94.05,11,1,0,0,0
69.85,20,1,1,0,0
5.29,13,0,0,0,0
32.66,11,0,1,0,0
238.89,22,2,0,0,0
27.39,9,7,0,0,0
15.65,21,1,0,0,0
67.23,19,4,0,0,0
424.4,14,1,0,0,0
27.71,6,2,0,0,0
111.52,8,2,0,0,0
143.39,9,2,1,0,0
27.13,9,3,0,0,0
130.27,15,0,1,0,0
45.85,6,2,0,0,0
100.05,4,3,0,1,0
100.38,22,1,0,0,0
76.74,2,4,1,1,0
9.46,17,1,0,0,0
